 time_fs    msd_angtrom_square
    10000.00     74.23300
    12000.00    105.05791
    14000.00    141.17548
    16000.00    182.22656
    18000.00    227.90492
    20000.00    278.62903
    22000.00    333.60242
    24000.00    392.77701
    26000.00    456.57657
    28000.00    524.37701
    30000.00    596.79865
    32000.00    674.20715
    34000.00    755.97809
    36000.00    841.01294
    38000.00    929.20886
    40000.00   1020.04211
    42000.00   1113.73962
    44000.00   1211.09729
    46000.00   1311.72815
    48000.00   1415.97290
    50000.00   1524.36096
